Gene,0,1,2,3
1552576_at,0.0027159383,-0.0041349456,-0.005343212,0.00071827054
1552578_a_at,0.0017546352,-0.0032026933,-0.00341744,0.0020941894
1552579_a_at,0.004742975,0.0041413936,-3.0048213e-05,0.0028077269
1552580_at,0.0032016444,0.0018779814,-0.0015714214,-0.0041195317
1552582_at,-0.0063422075,0.0062828315,-0.0059834393,-0.003099922
1552583_s_at,0.005333959,0.004765838,0.004946515,0.0040949485
1552584_at,-0.002960901,-0.0029189324,-0.008073825,0.0032072768
1552585_s_at,0.0014306668,0.0044102217,-0.0012844105,-0.0036440997
1552586_at,-0.0028521982,0.004099944,0.0017911015,0.0077917026
1552587_at,0.0065160417,0.002329805,0.005676339,0.0011113005
1552588_a_at,-0.0056055966,-0.0004986071,0.0062864176,0.008236513
1552590_a_at,0.0031930434,0.0062969085,0.00048211846,-0.004502351
1552592_at,0.003915263,0.006427414,0.0007312721,-0.0011252324
1552594_at,-0.0016446536,-0.0064414465,-0.0066388296,0.005503132
1552596_at,0.0057875784,0.006184844,-0.0038985622,-0.0066323266
1552598_at,0.0068818075,-0.0035249253,0.0058659934,-0.005149443
1552599_at,0.0011813369,-0.0022646545,0.0019000996,0.004964062
1552602_at,0.0027300185,0.00312072,-0.0057285912,-0.0055432855
1552604_at,0.0007319584,0.0057459692,-0.0055409726,0.0049824133
1552605_s_at,0.006687567,-0.003861465,-0.0039977673,-0.0036785414
1552607_at,-0.0028204098,0.004856378,-0.0022268256,-0.004938824
1552608_at,-0.0025714266,0.0054346044,0.0008748305,0.0035797039
1552609_s_at,-6.543074e-05,0.0049678693,-0.0027237707,0.0005982779
1552610_a_at,-0.0021527524,-0.0039451094,0.0011472679,0.004590539
1552611_a_at,5.3075313e-05,0.0026228817,-0.0016493282,-0.00563808
1552612_at,-0.0024751017,-0.007006421,0.004814823,0.0048389686
1552613_s_at,0.0025379101,-0.008583971,-0.0069432086,-0.0058043804
1552615_at,-0.004246425,-0.0027784633,-0.005661459,-0.0012872304
1552616_a_at,-0.0052040033,-0.002982159,0.0016236065,-0.0057378053
1552617_a_at,0.0073542884,0.007046727,0.00084295374,0.002238935
1552618_at,-0.0007455693,0.00459872,-0.00052776333,-0.0041134763
1552619_a_at,0.00238172,-0.0026445305,0.003715471,0.007497981
1552620_at,-0.0017683412,0.0012937171,0.003705479,0.0050052223
1552621_at,0.0010524413,0.00018808145,0.0041501215,0.0037706073
1552622_s_at,0.006449485,0.002330361,0.0023494873,0.0039245184
1552623_at,-0.006244929,-0.0035489628,-0.0031364828,-0.0054118778
1552625_a_at,-0.0028840543,-0.0008986705,0.0045959353,0.00397178
1552626_a_at,-0.0054349764,0.0001554025,0.0029928582,-0.0012992584
1552627_a_at,0.0056216223,0.0063181985,-0.0011553084,-0.007041162
1552628_a_at,0.006593611,-0.0054417127,-0.004678436,-0.006251844
1552629_a_at,0.0021970884,-1.900092e-05,-0.0021822536,0.0019169579
1552630_a_at,-0.0042066756,0.0058671236,-0.0065639988,0.005277939
1552631_a_at,0.007385163,-0.002193844,0.0054122536,-0.0040627066
1552632_a_at,-0.0018598079,0.0057409056,0.0010715201,0.0063115186
1552633_at,0.00105628,0.0062935064,-0.004102056,-0.0046594366
1552634_a_at,0.0058084005,-0.009540311,-0.004178643,0.0006195748
1552637_at,-0.0005812795,-0.00086820027,-0.0041692406,-0.006136732
1552639_at,0.0072612255,0.0038044204,0.004085212,-0.0050535477
1552641_s_at,-0.0031057356,-0.0013663996,-0.004511387,-0.000248147
1552643_at,0.0026408057,-0.005226266,0.005242011,-0.006977026
1552644_a_at,-0.00051816483,-0.0049958625,-0.004045022,0.0040738643
1552646_at,-0.005892876,0.0017288108,0.0024202154,0.0023536086
1552648_a_at,0.004886686,-0.0029290065,-0.0011599622,-0.004025641
1552649_a_at,-0.0030265672,0.0043254336,-0.0053377533,-0.0037665507
1552651_a_at,-0.0008778222,0.0031457217,0.005129235,0.006921404
1552652_at,-0.00021669766,-0.004343863,0.004662849,0.0048698033
1552656_s_at,0.004720789,0.007376334,0.00010562204,0.006005273
1552657_a_at,-0.005646424,0.006564067,0.005271863,-0.006425789
1552658_a_at,0.0035045387,-0.006328948,-0.006937744,0.0016117821
1552660_a_at,-0.0052938415,-0.005676056,0.006540388,-0.005000782
1552661_at,0.007544759,-0.0040004766,0.006449471,0.0013437265
1552662_a_at,0.0053057875,0.0055179405,-0.0014920594,-0.0050415727
1552663_a_at,0.0031872962,-0.005404417,-2.053932e-06,-0.0072835097
1552664_at,-0.0012064755,-0.003017432,-0.005700382,-0.0024358546
1552665_at,-0.00011292262,0.0023971358,0.0029034384,-0.0065870434
1552666_a_at,0.0032337678,0.0063966177,0.00032146522,0.0004131134
1552667_a_at,-0.003913635,0.00088011776,0.002409632,0.004321153
1552669_at,0.004497754,0.0005453304,0.0051807347,0.0043289233
1552670_a_at,-1.6730126e-05,-0.001246218,1.2533708e-05,0.0038926213
1552671_a_at,-0.002026559,-0.0057494626,-0.00019411859,0.0009878026
1552672_a_at,-0.0025867883,0.0038240459,-0.0028217502,-0.0035601144
1552673_at,-0.0069730775,-0.0039325906,-0.0011442294,0.0012506827
1552674_at,-0.0015793667,0.0048256987,0.0072267842,0.0025796634
1552675_at,0.0038655023,0.0059119277,-0.0016946967,-0.0034309418
1552676_at,0.002605534,-0.0065812175,0.0028912881,-0.0037216821
1552677_a_at,-0.002901976,0.0076107937,0.001445645,0.00066079374
1552678_a_at,0.006631076,0.0023390981,0.00035421888,-0.0041785873
1552680_a_at,-0.0042759106,0.00017993785,-0.005314788,0.006962028
1552682_a_at,-0.007572349,-0.0018397971,-0.005414857,-0.0064818175
1552684_a_at,-0.004441705,0.004097632,0.0027045296,0.006877775
1552685_a_at,-0.0020711052,-0.0017948863,-0.0039227186,0.008486664
1552686_at,-0.0036310053,-0.002674536,0.00043847886,-0.0048777633
1552687_a_at,0.0077778297,-0.0027304203,-0.0022099132,0.0078564
1552689_at,0.0032660805,-0.0039714365,-0.0059783813,-0.003600993
1552690_a_at,-0.0017352547,-0.0060544144,0.0011153824,-0.004770944
1552691_at,0.008979007,0.005634863,0.0046137953,0.0054241745
1552693_at,-0.00019725243,-0.005684051,-0.00056057854,-0.005579283
1552694_at,-0.005797517,-0.00606798,-0.003032037,-0.0059767985
1552695_a_at,-0.0023634466,0.004816152,0.004100568,-0.005234387
1552696_at,0.0039018597,-0.0074814437,0.006706048,0.0066488534
1552698_at,-0.003062643,-0.005154134,0.0024980633,-0.00056366774
1552701_a_at,0.0048166974,0.0021272216,-4.2831965e-05,0.0032074635
1552703_s_at,0.0031564704,-0.00848079,-0.005774491,0.007087455
1552705_at,-0.0040385225,0.004960378,0.0054905466,0.0046010185
1552708_a_at,0.0015614481,0.002523153,0.0014496344,0.0005314769
1552711_a_at,0.0018155251,-0.008644449,-0.0077388273,-0.003944168
1552712_a_at,-0.0051133474,-0.00638338,0.0072978456,-0.007594504
1552713_a_at,-0.0034256855,-0.0008132576,0.005085657,0.0003236279
1552714_at,0.0017668371,0.0053770104,-0.0042932723,-0.0039260318
1552715_a_at,-0.0011088144,0.0035138004,0.0067140246,0.0028417148
1552716_at,-0.0007961303,0.004343053,0.003947485,0.003634149
1552717_s_at,-0.0024291005,-0.0005642016,0.0051701455,0.005967945
1552718_at,0.0008900354,0.00024129602,0.0048962506,0.0011398309
1552719_at,0.003147373,0.0069294255,0.005153064,-0.00038101862
1552721_a_at,-0.004375323,0.0022885662,0.0077527305,0.00695172
1552722_at,0.0061953636,-0.004112975,0.0051397076,0.0010826362
1552724_at,-0.0049711317,0.0066055297,-0.005976167,-0.0009050914
1552725_s_at,0.0027458393,-0.0013624307,0.00479945,0.0024954753
1552726_at,0.0055687465,0.0006882327,0.0056900806,-0.0033809384
1552727_s_at,-0.0013745826,0.005073423,0.005995018,-0.0034022257
1552729_at,0.004162126,0.008713646,0.001376,0.0041708224
1552730_at,0.005666083,0.0051989784,0.004427785,-0.0010814733
1552731_at,-0.0006391927,-0.0059806,-0.006398467,0.0061453693
1552732_at,-0.005705584,-0.005972778,0.00437464,0.005894536
1552733_at,-0.008226097,-0.00089909014,-0.0017103489,0.004050974
1552734_at,0.0063069104,-0.0052529853,0.0045362143,0.0029636112
1552735_at,0.0026495685,0.0069758953,-0.0040887087,-0.006859106
1552736_a_at,-0.002759173,0.0011772861,0.007026,0.007502114
1552737_s_at,-0.0041676583,0.0002418852,-0.0020392966,0.002032456
1552738_a_at,-0.0062219608,-0.0069019855,-0.004706738,-0.0006787015
1552739_s_at,0.0035224485,-0.007992656,0.0051303264,-0.0048726914
1552740_at,-0.005078492,0.004476929,-0.00013496343,0.0020602439
1552742_at,0.0011037849,0.0033696156,0.007895439,-0.00496153
1552743_at,0.0013116796,0.0043524033,0.0019338679,0.006951309
1552745_at,0.0030894766,-0.0045828754,-0.0020879912,0.0030112078
1552747_a_at,0.007819715,-0.0054465234,0.0059476937,-0.004771721
1552749_a_at,0.002906952,-0.0022372552,-0.0068989363,-0.0042802836
1552750_at,0.0033333576,-0.004483734,0.0023127354,0.0056459485
1552751_a_at,0.0013765346,0.0013859898,-0.0004434976,-0.006104319
1552752_a_at,-0.0012432105,0.0016377657,-0.005848965,-0.0042556385
1552754_a_at,-0.00029101493,-0.00037301003,-0.0013780587,-0.0005439777
1552755_at,0.0012198319,-0.0048583806,0.0024280597,0.004775413
1552757_s_at,0.0030724227,-0.005781978,0.007884283,-0.0056132213
1552758_at,0.00229647,0.0039311913,0.00026992543,-0.003962715
1552760_at,-0.0046414617,0.0011094887,-0.0054063164,-0.0030596284
1552761_at,0.0043151095,0.0016803761,0.0004373719,0.004091123
1552763_at,-0.004964245,0.0042296895,0.0052031754,-0.005976981
1552765_x_at,-0.00250312,-0.005737684,0.0055996897,-0.0037223771
1552766_at,0.0034081412,0.004666757,0.0058220467,-0.004969527
1552767_a_at,0.005828358,1.0411323e-05,0.006170062,0.00058043574
1552768_at,0.009416967,0.007863561,0.002905064,-0.0065323072
1552769_at,0.0043104724,-0.0043722023,0.0022372927,-0.005435774
1552770_s_at,-0.0029232525,-0.0058484897,-0.0043536983,-0.0061819344
1552771_a_at,0.003763205,-0.005672343,0.0026778672,0.0030933265
1552772_at,0.0068245125,-0.0043047373,-0.00045632478,-0.0015197548
1552773_at,0.00038238705,0.0001883307,-0.005792587,-0.002672884
1552774_a_at,0.00041714666,-0.004017901,-0.0022785268,0.0043255053
1552775_at,-0.0031515225,-0.0027040334,-0.004482116,0.000482819
1552777_a_at,-0.0021435064,-0.0036860825,9.563097e-05,0.009615366
1552779_a_at,-0.0034777762,0.000604191,-0.0040462506,0.0015682181
1552782_at,0.0042403657,0.00467059,0.003714041,-0.0073559843
1552783_at,0.005471736,-0.004812987,-0.002024274,-0.0058354526
1552785_at,-0.00066984375,0.0013889835,0.0017633733,0.0050923456
1552787_at,0.002266792,-0.0058668978,-0.0045419275,0.0057570734
1552788_a_at,-0.0019494504,0.0049869986,-0.00088111835,0.006069896
1552789_at,-0.003913056,-0.00651191,0.0029029422,-0.008133482
1552790_a_at,0.0034352057,0.0048272945,0.0028985417,0.0005513397
1552791_a_at,0.0069593326,0.0006219343,-0.003970561,0.0069977366
1552792_at,0.0023327814,-0.003783817,0.001984954,0.00021712233
1552793_at,-0.0064135953,-0.0059362734,-0.0044923574,-0.00088592677
1552794_a_at,0.0039920006,-0.0077689793,-0.0022340945,0.006286196
1552796_a_at,0.008042353,-0.0035954108,0.0019844898,-0.005552811
1552797_s_at,-0.00045197085,0.0022748755,-0.006925192,0.003021205
1552798_a_at,-0.0036285133,0.0063993027,-0.00025374943,0.005400834
1552799_at,-0.0036990177,0.004534788,-0.0011632062,0.0075926636
1552800_at,-0.0064229956,0.0068757785,-0.0060783983,0.004463753
1552801_at,0.007025156,0.0044728983,0.007523979,0.005795974
