Gene,IN,NN,PN,PP
1552552_s_at,0.0030861602,-8.378781e-05,-0.0010644065,-0.0036640312
1552553_a_at,0.005175117,0.0038578268,0.0065957378,0.0034764179
1552554_a_at,-0.00576699,0.006882566,-0.0051009674,-0.005264122
1552555_at,-0.00034646472,0.0019992131,0.0061430014,-0.0043881284
1552557_a_at,0.0041592163,0.0028680398,0.008494508,0.004007707
1552558_a_at,0.00031555508,0.0032618404,-0.0036695057,0.0061091976
1552559_a_at,0.0033740974,-0.005052412,-0.0047740242,0.0068465355
1552562_at,-0.0014098544,0.0021859144,-0.003977906,-0.0019738816
1552563_a_at,0.0057104947,-0.003205904,0.0038498617,0.0071000443
1552564_at,-0.0038937903,-0.0049544377,0.0015777667,0.0054529984
1552566_at,-0.007092401,0.0051918775,-0.0013828661,-0.009063303
1552568_at,-0.003923098,-0.0042584077,-0.0021398615,0.0014555557
1552569_a_at,0.007579574,0.0019407768,0.0017656925,-0.0065184985
1552570_at,0.0040282924,0.0017093609,-0.0038469534,0.0018389721
1552572_a_at,0.0017906395,0.001675419,-0.0038796081,0.0023947288
1552573_s_at,0.006010527,0.0052772663,-0.0030428844,-0.0017730324
1552575_a_at,0.00011469465,0.0016724882,0.00491525,-0.001653531
1552576_at,-0.0041592065,0.0039428724,-0.0040188082,-0.006405237
1552578_a_at,-0.0040681083,-0.0050035315,0.0035441446,-0.004958163
1552579_a_at,0.004337969,-0.0017643763,-0.002364752,-0.0063507473
1552580_at,0.0070524267,0.0029643965,-0.0034387368,-0.0016693529
1552582_at,-0.005090723,0.0022660356,0.0017115052,0.00046114426
1552583_s_at,-0.007094079,-0.00652929,0.003426168,-0.0001731151
1552584_at,-0.0008624816,0.0022190786,-0.0028845912,0.00442191
1552585_s_at,-0.0061634127,-0.002454447,0.0026539392,-0.0004019166
1552586_at,-0.0034193445,0.0006049768,-0.006491158,-0.004868361
1552587_at,0.0047082845,0.00029158324,-0.003482783,0.006516758
1552588_a_at,0.0056798994,-0.0019058017,0.0036067758,0.00024347188
1552590_a_at,0.0070747714,-0.004162481,-0.0058766403,-0.0020485625
1552592_at,-0.0039404696,-0.003813242,0.001518907,-0.005353682
1552594_at,0.0066521186,-0.0006241714,0.0073486906,-0.0051263734
1552596_at,0.004028122,0.00066382677,0.004299971,0.005979938
1552598_at,0.004127396,0.007022777,0.0024751334,0.005793974
1552599_at,-0.0063207513,-0.0037097712,0.0021204408,0.007019675
1552602_at,0.0043698368,-0.002760225,-0.006694227,0.003436329
1552604_at,-0.004775463,0.0020003335,-0.0015947915,0.0070836423
1552605_s_at,-0.0052445307,0.0028762629,0.0018899804,-0.0024144046
1552607_at,-0.0040958356,-0.0028538634,0.00018880557,-0.008454152
1552608_at,-0.0010033064,0.0030343165,0.0035458603,-0.0006275315
1552609_s_at,-0.0007189111,0.007090251,-0.0017500545,-0.006074903
1552610_a_at,-0.0022823538,0.0061178193,-0.004245974,0.0014997354
1552611_a_at,-0.003265558,0.0034835755,-0.007308959,-0.0042146784
1552612_at,-0.007532219,-0.0040949066,0.002893719,-0.0038191355
1552613_s_at,0.0012241465,-0.0024108528,0.0067239166,-0.0033396727
1552615_at,0.0040218374,-0.004848794,0.003795053,0.0045087794
1552616_a_at,-0.00051993196,-0.0009844976,0.0068853917,0.0052555357
1552617_a_at,-0.005449535,-0.0009927902,-0.0039570527,-0.0010231308
1552618_at,-3.9680508e-05,0.0034703596,-0.004069442,0.0034909854
1552619_a_at,0.004895802,-0.0010310428,0.0023306573,-0.00026982522
1552620_at,0.00039877518,-0.003340254,-0.003623531,-0.0084616775
1552621_at,-0.0044394615,0.0016189897,0.0020600804,0.003293808
1552622_s_at,-0.0024407941,0.0056288135,-0.0040891822,-0.0028421376
1552623_at,-0.0048663644,-0.0051195193,-0.0025453402,0.007403499
1552625_a_at,0.00085465465,-0.0056651537,-0.008185392,-0.003704007
1552626_a_at,0.0027719042,0.0001578592,0.0016852444,0.0070133354
1552627_a_at,-0.0065904097,0.0018869243,0.0055959076,-0.0034428744
1552628_a_at,0.003276698,-0.00216112,-0.0074677686,0.0023779431
1552629_a_at,-2.005801e-05,0.0004141162,0.0051748315,0.0058265454
1552630_a_at,0.0072513293,0.0010016911,-0.0038391599,-0.0047476417
1552631_a_at,0.0016962447,0.0065051857,0.0030937812,0.0013961829
1552632_a_at,0.0021286486,0.0052850056,0.0004319624,-0.0032773507
1552633_at,-0.0018167889,0.0073462427,-0.0050453166,-0.0039535137
1552634_a_at,-0.0050856164,-0.0043263426,0.00029123205,0.00040853524
1552637_at,0.0012684645,0.0035281072,9.896567e-06,0.0076526743
1552639_at,-0.0045478973,0.006378281,0.006572081,0.00039491637
1552641_s_at,0.004758272,-0.0059196507,-0.0015382491,0.0060700136
1552643_at,-0.0070471684,-0.0011231181,-0.0017550571,-0.005737862
1552644_a_at,0.0030441904,-0.0065384624,0.0017108612,0.0041963905
1552646_at,-0.006235644,-0.0011412803,-0.0043779183,-0.0026551057
1552648_a_at,0.003501238,0.0005155114,0.0039783735,0.0028976272
1552649_a_at,-0.004248933,0.00036010635,0.00066272303,-0.006151238
1552651_a_at,-0.0020506505,-0.0018817844,0.0052926885,0.0012087451
1552652_at,-0.0023372564,0.0021840085,0.0004975503,-0.00014976632
1552656_s_at,-0.003941748,-0.00018110136,-0.0048016137,0.0051773516
1552657_a_at,-0.006702407,0.0060750404,-0.0053453296,-0.0026066534
1552658_a_at,-0.0023754323,0.0015699624,0.0020007826,0.0045717405
1552660_a_at,-0.0050111655,0.0025211324,0.0016345908,0.0076952768
1552661_at,0.00055045553,0.0010910147,0.0019287595,0.0016239808
1552662_a_at,0.0036957492,0.007592219,-0.003473693,-0.0008575834
1552663_a_at,0.0017881669,0.002721743,0.006296759,0.00026176104
1552664_at,0.0005695036,-0.008045639,0.00035903836,-0.0023686897
1552665_at,0.00439449,0.003370627,-0.0061888113,0.0014868568
1552666_a_at,-0.005491952,-0.0010976337,0.0058988854,-0.0027324343
1552667_a_at,-0.005795114,0.0030409521,0.0020674558,0.00032741684
1552669_at,-0.0028062456,0.00023819637,-0.005186382,0.0046177297
1552670_a_at,0.0053323708,-0.006037418,0.0053210496,0.006213216
1552671_a_at,0.005855979,0.0058746752,0.0032195405,-0.0034544482
1552672_a_at,-0.0018354004,-0.00045061132,0.000700035,0.0019459082
1552673_at,0.0042288457,-0.0040923427,-0.004769173,0.0043748883
1552674_at,0.0053824964,-0.0021713641,0.006437919,-0.003063761
1552675_at,0.001419076,0.002112537,0.0031723685,0.0032680635
1552676_at,0.00024415806,0.0021407967,-0.0054587773,0.007066444
1552677_a_at,0.003359913,0.0077402415,0.005865794,0.0024271917
1552678_a_at,-0.0066700685,-9.529669e-05,-0.0034277113,-0.004274058
1552680_a_at,0.0054793237,0.0033318582,-0.0043123425,-0.0024924178
1552682_a_at,0.0035342204,0.0030889928,0.0035284148,-0.0018702763
1552684_a_at,0.0009603289,0.004877573,0.006613828,1.8473764e-05
1552685_a_at,-0.0030580005,-0.0032337245,-0.0022583988,-0.0013939886
1552686_at,-0.004811067,-0.0040134,-0.0056461883,0.004340897
1552687_a_at,0.00584622,-0.00051355537,-0.005354297,-0.0044391286
1552689_at,-0.00054062053,-0.00044460275,-0.007516078,-0.0064557116
1552690_a_at,0.002417567,0.006338149,-0.0033224234,0.006401261
1552691_at,0.009060405,-0.0035585533,0.0013629725,-0.0056294505
1552693_at,-0.005078559,0.0043784543,0.0077521377,-0.003617017
1552694_at,-0.007208454,0.0069279643,-0.0013739035,-0.0008319291
1552695_a_at,-0.004896001,0.0027176759,0.005805035,0.004117401
1552696_at,-0.0010033641,0.003364507,0.0041922377,-0.001176613
1552698_at,-0.0036963911,-0.0042150132,0.0009977868,-0.0050451574
1552701_a_at,0.005093176,-0.006245535,0.0044194534,-0.005793127
1552703_s_at,-0.007942925,-0.009170672,0.0025806967,0.005615874
1552705_at,-0.0014976045,0.0063304272,0.0046318835,-0.004286642
1552708_a_at,-0.0049805716,-0.0019682518,0.003007866,-0.0064422223
1552711_a_at,0.0064038513,-0.0032208315,0.003198758,-0.0013385802
1552712_a_at,0.0015706026,0.007233453,-0.005569867,-0.005087426
1552713_a_at,0.0047505233,-0.0048110387,-0.0029499312,-0.0012650157
1552714_at,-0.005422121,-0.00022868163,-0.0013092179,0.0017301699
1552715_a_at,-0.0066079414,-0.0006199152,0.0010496865,0.0033287774
1552716_at,-0.007056659,-0.0023854934,-0.0035516513,-0.00657457
1552717_s_at,-0.0005889919,0.0014929522,0.0058337543,-0.001641026
1552718_at,0.0025876772,0.0032912851,0.0007580203,-0.0045835315
1552719_at,-0.005489436,-0.003106934,-0.0046045315,0.0011735867
1552721_a_at,-0.0004908418,0.001773404,-0.0048199873,-0.0045226533
1552722_at,-0.006459091,-0.004043905,0.0057200827,0.0058019133
1552724_at,-0.0010195373,0.0056831776,0.0064255577,-0.002625474
1552725_s_at,-0.0040467572,-0.0032948565,1.9995741e-05,0.00012853807
1552726_at,0.0028118703,-0.0042655254,0.006638105,-0.0054918206
1552727_s_at,-0.004086833,-0.0026877222,0.002641085,0.0023276603
1552729_at,-0.0045033293,-0.0024668204,0.0055507845,0.0053232494
1552730_at,-0.004304961,-0.0005929611,0.006575602,-0.0028740624
1552731_at,-0.0016886232,-0.0035599503,-0.003674956,0.0014484924
1552732_at,0.00038139295,0.00625385,0.0042855046,0.005722712
1552733_at,-0.007586137,0.0061210883,-0.00336668,-0.005787621
1552734_at,0.0067924876,0.0013248218,0.0082459245,-0.006508771
1552735_at,0.0047453362,-0.0053416896,0.0014596479,-0.004672337
1552736_a_at,-0.0051034233,0.0013072235,-0.0053235115,-0.0058864634
1552737_s_at,0.0014729499,-0.0040571145,0.0018217976,0.0046508308
1552738_a_at,-0.0011220578,-0.005149084,-0.0023774693,-0.005166754
1552739_s_at,-0.0017093306,-0.005617485,-0.005566436,-0.0010055327
1552740_at,-1.839101e-05,-0.0044175135,-0.0021881408,0.0024982367
1552742_at,0.0018043682,0.0045429775,0.008097693,0.002354552
1552743_at,-0.005649581,0.0016179066,-0.004326283,-0.0030165017
1552745_at,-0.0037953414,0.008162553,-0.0019936867,0.0060352962
1552747_a_at,0.0013144515,-0.003491587,-0.0057842066,-0.0014487604
1552749_a_at,-0.0006497918,0.0029387965,0.0051217447,0.0029259413
1552750_at,-0.0030208924,-0.001336031,0.0059389356,-0.0018880187
1552751_a_at,0.0057490543,0.0032517915,-0.00424983,0.0036081162
1552752_a_at,0.0064161913,0.0050911345,-0.0036218166,0.0025867848
1552754_a_at,-0.004351966,-0.0021309415,0.0017982506,-0.0058244755
1552755_at,-0.0016542139,0.002287652,-0.0026756977,-0.0025867538
1552757_s_at,-0.0063283644,-0.0071370895,-0.0003897079,0.0012202993
1552758_at,-0.004447683,-0.0025944107,0.00022694908,0.0016498286
1552760_at,-0.0025883645,0.0047648544,0.002557429,0.0024144386
1552761_at,-0.0027589365,0.003012881,-0.004558201,-0.00059163006
1552763_at,0.0065827896,-0.006885918,0.00032547512,0.0069916765
1552765_x_at,0.005906282,0.005703877,0.006224289,-0.005096111
1552766_at,0.005923561,-0.0056777196,-0.0009953058,0.0034476325
1552767_a_at,0.0047441944,0.0008021366,-0.000295783,0.00048905547
1552768_at,0.0033342808,-0.0034213397,-0.0010576159,-0.004299271
1552769_at,-0.0019291842,0.00025280044,0.00028709468,-0.0015020845
1552770_s_at,-0.0036600581,0.0016965753,0.007718427,0.0056824037
1552771_a_at,0.0035605992,0.0027294194,0.0012350155,-0.0020932069
1552772_at,0.0005300167,0.003127813,0.00370966,0.0069108764
1552773_at,-0.0013832089,-0.0043277065,0.0061435415,-0.0013243385
1552774_a_at,0.0020323028,-0.006618289,0.0005610188,-0.006085865
1552775_at,0.0025047672,-0.0024705045,0.0035968453,-0.002067927
1552777_a_at,0.003341908,0.0054473793,0.00064910727,-0.00055111124
1552779_a_at,0.0055615236,0.0019687342,-0.0063461824,-0.00085004175
1552782_at,0.0043305214,0.0032853978,0.00502512,0.005869945
1552783_at,0.0068210517,0.0069484287,0.0018594428,-0.0015632566
1552785_at,0.006197385,0.005121518,0.008266594,-0.0006865982
1552787_at,-0.0054160883,-0.0021163942,0.0002622261,0.0018058335
1552788_a_at,0.0057142195,0.0035374945,0.0041443883,0.00604838
1552789_at,-0.0010478207,-0.0074967262,-0.0051044044,0.001735003
1552790_a_at,0.002603017,-0.0030096348,0.007080782,0.00032847235
1552791_a_at,0.0028883375,-0.0038887125,-0.0005589124,0.0028837742
1552792_at,0.00038885573,0.0067979963,0.007332462,-0.0054716696
